feature_id	component	loading	feature_type	abs_loading	selected_by_spls	feature_label
C18n_QI11343	comp1	0.45405895238230226	metabolite	0.45405895238230226	TRUE	C18n_QI11343
C18n_QI4641	comp1	-0.41442184567461116	metabolite	0.41442184567461116	TRUE	C18n_QI4641
C18n_QI2917	comp1	-0.3113893732032026	metabolite	0.3113893732032026	TRUE	C18n_QI2917
C18n_QI8008	comp1	0.3051965175789455	metabolite	0.3051965175789455	TRUE	C18n_QI8008
C18n_QI8815	comp1	0.3042411912797897	metabolite	0.3042411912797897	TRUE	C18n_QI8815
C18n_QI11350	comp1	0.2913227229412961	metabolite	0.2913227229412961	TRUE	C18n_QI11350
C18n_QI1015	comp1	0.22090491117497651	metabolite	0.22090491117497651	TRUE	C18n_QI1015
HILp_QI2095	comp1	0.18138546667461386	metabolite	0.18138546667461386	TRUE	HILp_QI2095
C18n_QI11341	comp1	0.17414710915455855	metabolite	0.17414710915455855	TRUE	C18n_QI11341
HILp_QI2044	comp1	0.1636511851634337	metabolite	0.1636511851634337	TRUE	HILp_QI2044
C18n_QI7605	comp1	0.14016577185042983	metabolite	0.14016577185042983	TRUE	C18n_QI7605
HILp_QI15737	comp1	0.13305988147276607	metabolite	0.13305988147276607	TRUE	HILp_QI15737
C18n_QI7515	comp1	0.1266761433151539	metabolite	0.1266761433151539	TRUE	C18n_QI7515
C18n_QI2042	comp1	0.12111866393910073	metabolite	0.12111866393910073	TRUE	C18n_QI2042
C18n_QI2402	comp1	0.1157507369471226	metabolite	0.1157507369471226	TRUE	C18n_QI2402
C18n_QI1784	comp1	0.10001988554111942	metabolite	0.10001988554111942	TRUE	C18n_QI1784
HILn_QI26736	comp1	-0.09170818229002833	metabolite	0.09170818229002833	TRUE	HILn_QI26736
C18n_QI1325	comp1	0.08631190946884718	metabolite	0.08631190946884718	TRUE	C18n_QI1325
C18n_QI663	comp1	0.06229618146738903	metabolite	0.06229618146738903	TRUE	C18n_QI663
C18n_QI2966	comp1	-0.0560433463898042	metabolite	0.0560433463898042	TRUE	C18n_QI2966
HILp_QI12296	comp1	0.023183632250939848	metabolite	0.023183632250939848	TRUE	HILp_QI12296
C18n_QI3804	comp1	0.021845949724845704	metabolite	0.021845949724845704	TRUE	C18n_QI3804
C18n_QI1515	comp1	0.017272543434531853	metabolite	0.017272543434531853	TRUE	C18n_QI1515
C18n_QI3745	comp1	-0.007834265840555322	metabolite	0.007834265840555322	TRUE	C18n_QI3745
C18n_QI11349	comp1	0.003179367167010775	metabolite	0.003179367167010775	TRUE	C18n_QI11349
C18n_QI4874	comp2	0.4107413328026332	metabolite	0.4107413328026332	TRUE	C18n_QI4874
C8p_QI7970	comp2	0.3907320941748086	metabolite	0.3907320941748086	TRUE	C8p_QI7970
C8p_QI10300	comp2	0.3881376544292531	metabolite	0.3881376544292531	TRUE	C8p_QI10300
C8p_QI6409	comp2	0.37710860945610286	metabolite	0.37710860945610286	TRUE	C8p_QI6409
C8p_QI21618	comp2	0.35856001691906686	metabolite	0.35856001691906686	TRUE	C8p_QI21618
C8p_QI2513	comp2	0.32792783612957627	metabolite	0.32792783612957627	TRUE	C8p_QI2513
C8p_QI5114	comp2	0.19042757765456333	metabolite	0.19042757765456333	TRUE	C8p_QI5114
C18n_QI7436	comp2	0.18181304340491178	metabolite	0.18181304340491178	TRUE	C18n_QI7436
C18n_QI382	comp2	0.14816458963952334	metabolite	0.14816458963952334	TRUE	C18n_QI382
C18n_QI8231	comp2	0.1329608366098464	metabolite	0.1329608366098464	TRUE	C18n_QI8231
C18n_QI13348	comp2	-0.12172804720662181	metabolite	0.12172804720662181	TRUE	C18n_QI13348
C18n_QI744	comp2	0.08942416716259514	metabolite	0.08942416716259514	TRUE	C18n_QI744
C18n_QI1309	comp2	0.08336573339854537	metabolite	0.08336573339854537	TRUE	C18n_QI1309
C18n_QI7605	comp2	0.06645677040029487	metabolite	0.06645677040029487	TRUE	C18n_QI7605
C18n_QI1728	comp2	-0.04172403305929914	metabolite	0.04172403305929914	TRUE	C18n_QI1728
C18n_QI1872	comp2	-0.0379320193910448	metabolite	0.0379320193910448	TRUE	C18n_QI1872
C18n_QI745	comp2	0.030887538974780946	metabolite	0.030887538974780946	TRUE	C18n_QI745
HILn_QI27528	comp2	-0.029455274840340426	metabolite	0.029455274840340426	TRUE	HILn_QI27528
C18n_QI742	comp2	0.022038281020251807	metabolite	0.022038281020251807	TRUE	C18n_QI742
C18n_QI2596	comp2	-0.016287035339404746	metabolite	0.016287035339404746	TRUE	C18n_QI2596
C18n_QI7560	comp2	0.015800168342058038	metabolite	0.015800168342058038	TRUE	C18n_QI7560
C18n_QI7515	comp2	0.01532698799002751	metabolite	0.01532698799002751	TRUE	C18n_QI7515
C18n_QI11958	comp2	0.011098816770146255	metabolite	0.011098816770146255	TRUE	C18n_QI11958
C18n_QI2985	comp2	0.009862726096847336	metabolite	0.009862726096847336	TRUE	C18n_QI2985
C18n_QI413	comp2	-0.008259185817725615	metabolite	0.008259185817725615	TRUE	C18n_QI413
