figure_number	figure_title	source_path	final_path	status	final_exists	file_size_bytes
1	Study workflow	generated by R/12_make_figures_tables.R	results/final_figures/figure_01_study_workflow.png	generated	TRUE	62472
2	Sample matching flow	results/figures/sample_matching_flow.png	results/final_figures/figure_02_sample_matching_flow.png	copied	TRUE	81712
3	Diagnosis group distribution after matching	results/figures/group_distribution_barplot.png	results/final_figures/figure_03_group_distribution.png	copied	TRUE	66213
4	Microbiome alpha diversity by diagnosis	results/figures/shannon_diversity_by_diagnosis.png	results/final_figures/figure_04_microbiome_alpha_diversity.png	copied	TRUE	158394
5	Microbiome beta diversity ordination	results/figures/aitchison_pca_by_diagnosis.png	results/final_figures/figure_05_microbiome_beta_diversity_ordination.png	copied	TRUE	110098
6	Metabolomics PCA by diagnosis	results/figures/metabolomics_pca_by_diagnosis.png	results/final_figures/figure_06_metabolomics_pca.png	copied	TRUE	104654
7	Genus-level taxa differential abundance	results/figures/taxa_differential_abundance_dotplot.png	results/final_figures/figure_07_taxa_differential_abundance.png	copied	TRUE	284351
8	Disease-associated metabolite features	results/figures/metabolite_volcano.png	results/final_figures/figure_08_metabolite_association_volcano.png	copied	TRUE	917678
9	Top disease-associated metabolite heatmap	results/figures/top_metabolites_heatmap.png	results/final_figures/figure_09_top_metabolite_heatmap.png	copied	TRUE	224206
10	Taxa-metabolite correlation heatmap	results/figures/taxa_metabolite_correlation_heatmap.png	results/final_figures/figure_10_taxa_metabolite_correlation_heatmap.png	copied	TRUE	433921
11	mixOmics selected feature loading plot	results/figures/mixomics_microbiome_loading_plot.png	results/final_figures/figure_11_mixomics_loading_plot.png	copied	TRUE	137866
12	Final candidate biomarker ranking	results/figures/top_candidate_biomarker_dotplot.png	results/final_figures/figure_12_final_candidate_biomarker_ranking.png	copied	TRUE	318106
