output_type	item	path	status	detail
figure	Study workflow	results/final_figures/figure_01_study_workflow.png	ok	figure_number=1; source=generated by R/12_make_figures_tables.R
figure	Sample matching flow	results/final_figures/figure_02_sample_matching_flow.png	ok	figure_number=2; source=results/figures/sample_matching_flow.png
figure	Diagnosis group distribution after matching	results/final_figures/figure_03_group_distribution.png	ok	figure_number=3; source=results/figures/group_distribution_barplot.png
figure	Microbiome alpha diversity by diagnosis	results/final_figures/figure_04_microbiome_alpha_diversity.png	ok	figure_number=4; source=results/figures/shannon_diversity_by_diagnosis.png
figure	Microbiome beta diversity ordination	results/final_figures/figure_05_microbiome_beta_diversity_ordination.png	ok	figure_number=5; source=results/figures/aitchison_pca_by_diagnosis.png
figure	Metabolomics PCA by diagnosis	results/final_figures/figure_06_metabolomics_pca.png	ok	figure_number=6; source=results/figures/metabolomics_pca_by_diagnosis.png
figure	Genus-level taxa differential abundance	results/final_figures/figure_07_taxa_differential_abundance.png	ok	figure_number=7; source=results/figures/taxa_differential_abundance_dotplot.png
figure	Disease-associated metabolite features	results/final_figures/figure_08_metabolite_association_volcano.png	ok	figure_number=8; source=results/figures/metabolite_volcano.png
figure	Top disease-associated metabolite heatmap	results/final_figures/figure_09_top_metabolite_heatmap.png	ok	figure_number=9; source=results/figures/top_metabolites_heatmap.png
figure	Taxa-metabolite correlation heatmap	results/final_figures/figure_10_taxa_metabolite_correlation_heatmap.png	ok	figure_number=10; source=results/figures/taxa_metabolite_correlation_heatmap.png
figure	mixOmics selected feature loading plot	results/final_figures/figure_11_mixomics_loading_plot.png	ok	figure_number=11; source=results/figures/mixomics_microbiome_loading_plot.png
figure	Final candidate biomarker ranking	results/final_figures/figure_12_final_candidate_biomarker_ranking.png	ok	figure_number=12; source=results/figures/top_candidate_biomarker_dotplot.png
table	source_sample_matching_flow.tsv	results/final_tables/source_sample_matching_flow.tsv	ok	n_rows=7; n_cols=3; expected_empty=FALSE
table	source_group_distribution.tsv	results/final_tables/source_group_distribution.tsv	ok	n_rows=6; n_cols=4; expected_empty=FALSE
table	source_alpha_diversity_results.tsv	results/final_tables/source_alpha_diversity_results.tsv	ok	n_rows=2; n_cols=5; expected_empty=FALSE
table	source_permanova_results.tsv	results/final_tables/source_permanova_results.tsv	ok	n_rows=6; n_cols=7; expected_empty=FALSE
table	source_betadisper_results.tsv	results/final_tables/source_betadisper_results.tsv	ok	n_rows=4; n_cols=8; expected_empty=FALSE
table	source_maaslin2_taxa_all_results.tsv	results/final_tables/source_maaslin2_taxa_all_results.tsv	ok	n_rows=156; n_cols=20; expected_empty=FALSE
table	source_maaslin2_taxa_significant_results.tsv	results/final_tables/source_maaslin2_taxa_significant_results.tsv	ok	n_rows=0; n_cols=20; expected_empty=TRUE
table	source_metabolite_association_significant_results.tsv	results/final_tables/source_metabolite_association_significant_results.tsv	ok	n_rows=1730; n_cols=19; expected_empty=FALSE
table	source_integration_feature_selection_summary.tsv	results/final_tables/source_integration_feature_selection_summary.tsv	ok	n_rows=2; n_cols=6; expected_empty=FALSE
table	source_taxa_metabolite_spearman_significant_pairs.tsv	results/final_tables/source_taxa_metabolite_spearman_significant_pairs.tsv	ok	n_rows=230; n_cols=10; expected_empty=FALSE
table	source_covariate_adjusted_correlation_pairs.tsv	results/final_tables/source_covariate_adjusted_correlation_pairs.tsv	ok	n_rows=3900; n_cols=11; expected_empty=FALSE
table	source_mixomics_selected_microbiome_features.tsv	results/final_tables/source_mixomics_selected_microbiome_features.tsv	ok	n_rows=20; n_cols=7; expected_empty=FALSE
table	source_mixomics_selected_metabolite_features.tsv	results/final_tables/source_mixomics_selected_metabolite_features.tsv	ok	n_rows=50; n_cols=7; expected_empty=FALSE
table	source_mixomics_model_performance.tsv	results/final_tables/source_mixomics_model_performance.tsv	ok	n_rows=1; n_cols=10; expected_empty=FALSE
table	source_final_candidate_biomarker_ranking.tsv	results/final_tables/source_final_candidate_biomarker_ranking.tsv	ok	n_rows=230; n_cols=23; expected_empty=FALSE
table	source_final_candidate_biomarker_ranking_annotated.tsv	results/final_tables/source_final_candidate_biomarker_ranking_annotated.tsv	ok	n_rows=230; n_cols=33; expected_empty=FALSE
